"","pool","Article_ID","veg","n"
"1","AGBC_g_m2","ANDE2018","cheatgrass",52
"2","AGBC_g_m2","BJER1984","salt_desert",1
"3","AGBC_g_m2","BRAD2006","cheatgrass",30
"4","AGBC_g_m2","BRAD2006","sagebrush",28
"5","AGBC_g_m2","BRAD2006","salt_desert",10
"6","AGBC_g_m2","CLEA2010","sagebrush",2
"7","AGBC_g_m2","DAVI2009","cheatgrass",1
"8","AGBC_g_m2","DIAM2012","cheatgrass",4
"9","AGBC_g_m2","DRIE1997","sagebrush",1
"10","AGBC_g_m2","DRIE1997","salt_desert",1
"11","AGBC_g_m2","HOOK2008","cheatgrass",1
"12","AGBC_g_m2","HOOK2008","sagebrush",1
"13","AGBC_g_m2","JONE2015","cheatgrass",56
"14","AGBC_g_m2","MCAB2017","sagebrush",1
"15","AGBC_g_m2","PEAR1965","sagebrush",2
"16","AGBC_g_m2","PESC2015","sagebrush",8
"17","AGBC_g_m2","RICK1985b","cheatgrass",2
"18","AGBC_g_m2","RICK1985b","sagebrush",1
"19","AGBC_g_m2","SVEJ2001","cheatgrass",6
"20","AGBC_g_m2","SVEJ2001","sagebrush",6
"21","AGBC_g_m2","WEST1972","sagebrush",1
"22","AGBC_g_m2","WEST1972","salt_desert",3
"23","BGBC_g_m2","BJER1984","salt_desert",1
"24","BGBC_g_m2","CLEA2010","sagebrush",2
"25","BGBC_g_m2","GOER2011","sagecheat",24
"26","BGBC_g_m2","HOOK2008","cheatgrass",1
"27","BGBC_g_m2","HOOK2008","sagebrush",1
"28","BGBC_g_m2","RAU2011","sagebrush",5
"29","BGBC_g_m2","RAU2011","sagecheat",32
"30","BGBC_g_m2","RICK1985b","sagebrush",6
"31","BGBC_g_m2","SVEJ2001","cheatgrass",6
"32","BGBC_g_m2","SVEJ2001","sagebrush",6
"33","BGBC_g_m2","WEST1972","sagebrush",1
"34","BGBC_g_m2","WEST1972","salt_desert",3
"35","litterC_g_m2","BJER1984","salt_desert",1
"36","litterC_g_m2","CLEA2010","sagebrush",2
"37","litterC_g_m2","HOOK2008","cheatgrass",1
"38","litterC_g_m2","HOOK2008","sagebrush",1
"39","litterC_g_m2","JONE2015","cheatgrass",56
"40","litterC_g_m2","MCAB2017","sagebrush",1
"41","litterC_g_m2","RICK1985b","cheatgrass",2
"42","litterC_g_m2","RICK1985b","sagebrush",1
"43","litterC_g_m2","SVEJ2001","cheatgrass",6
"44","litterC_g_m2","SVEJ2001","sagebrush",6
"45","litterC_g_m2","WEST1972","sagebrush",1
"46","litterC_g_m2","WEST1972","salt_desert",3
"47","orgsoilC_g_m2","BJER1984","salt_desert",4
"48","orgsoilC_g_m2","BLAN2006","sagebrush",70
"49","orgsoilC_g_m2","BLAN2006","sagecheat",100
"50","orgsoilC_g_m2","GASC2015","sagebrush",1
"51","orgsoilC_g_m2","GOER2011","sagecheat",24
"52","orgsoilC_g_m2","NORT2004","sagecheat",74
"53","orgsoilC_g_m2","NORT2008","cheatgrass",19
"54","orgsoilC_g_m2","NORT2008","sagecheat",19
"55","orgsoilC_g_m2","NORT2012","cheatgrass",132
"56","orgsoilC_g_m2","NORT2012","sagebrush",132
"57","orgsoilC_g_m2","RAU2011","sagebrush",5
"58","orgsoilC_g_m2","RAU2011","sagecheat",32
"59","orgsoilC_g_m2","SAET2005","cheatgrass",1
"60","orgsoilC_g_m2","SORE2013","sagebrush",2
"61","orgsoilC_g_m2","STAR2015","cheatgrass",16
"62","orgsoilC_g_m2","STAR2015","sagebrush",16
"63","orgsoilC_g_m2","STAR2015","sagecheat",16
"64","orgsoilC_g_m2","WEBE2015","cheatgrass",12
"65","orgsoilC_g_m2","WEBE2015","sagebrush",12
"66","totsoilC_g_m2","BECH2007","sagebrush",2
"67","totsoilC_g_m2","BRAD2006","cheatgrass",75
"68","totsoilC_g_m2","BRAD2006","sagecheat",58
"69","totsoilC_g_m2","BRAD2006","salt_desert",24
"70","totsoilC_g_m2","DAVI2007","sagebrush",2
"71","totsoilC_g_m2","JOHN2011","cheatgrass",1
"72","totsoilC_g_m2","JOHN2011","sagebrush",1
"73","totsoilC_g_m2","JONE2015","cheatgrass",40
"74","totsoilC_g_m2","MAHO2018a","cheatgrass",16
"75","totsoilC_g_m2","MAHO2018a","sagecheat",11
"76","totsoilC_g_m2","SAET2005","cheatgrass",1
"77","totsoilC_g_m2","SORE2013","sagebrush",2
"78","totsoilC_g_m2","VAN2005","sagebrush",6
