"","Article_ID","litterC_g_m2.mean","orgsoilC_g_m2.mean","totsoilC_g_m2.mean","BGBC_g_m2.mean","AGBC_g_m2.mean"
"1","ANDE2018",NA,NA,NA,NA,41.2727010234306
"2","BECH2007",NA,NA,1457.55,NA,NA
"3","BJER1984",NA,NA,NA,NA,NA
"4","BLAN2006",NA,1217.07084705882,NA,NA,NA
"5","BOUL1993",NA,NA,NA,NA,NA
"6","BRAD2006",NA,NA,NA,NA,NA
"7","CLEA2010",NA,NA,NA,NA,NA
"8","DAVI2007",NA,NA,1767.15,NA,NA
"9","DAVI2009",NA,NA,NA,NA,255.441828735632
"10","DIAM2012",NA,NA,NA,NA,35.1818775
"11","DRIE1997",NA,NA,NA,NA,111.8925
"12","GASC2015",NA,553.158,NA,NA,NA
"13","GILL1999",NA,NA,NA,NA,NA
"14","GOER2011",NA,2119.11329166667,NA,127.796958333333,NA
"15","HOOK2008",75,NA,NA,220,250
"16","JOHN2011",NA,NA,3451.14,NA,NA
"17","JONE2015",172.891535553571,NA,NA,NA,45.3691071428571
"18","MAHO2018a",NA,NA,NA,NA,NA
"19","MAHO2018b",NA,NA,NA,NA,NA
"20","MCAB2017",NA,NA,NA,NA,NA
"21","NORT2004",NA,1978.10462833041,NA,NA,NA
"22","NORT2008",NA,NA,NA,NA,NA
"23","NORT2012",NA,1730.80837145455,NA,NA,NA
"24","PEAR1965",NA,NA,NA,NA,141.615
"25","PESC2015",NA,NA,NA,NA,534.947625
"26","RAU2011",NA,3046.11908108108,NA,160.100918918919,NA
"27","RICK1985b",NA,NA,NA,NA,NA
"28","SAET2005",NA,2005.02,3611.88,NA,NA
"29","SHRE2008",NA,NA,NA,NA,NA
"30","SORE2013",NA,NA,NA,NA,NA
"31","STAR2015",NA,1719.17354166667,NA,NA,NA
"32","SVEJ2001",6.03916666666667,NA,NA,30.2925,16.9541666666667
"33","VAN2005",NA,NA,1565.21666666667,NA,NA
"34","WEBE2015",NA,1061.76,NA,NA,NA
"35","WEST1972",162.4,NA,NA,565.15,544.85
